desc,municipio,aglomeracion_urbana,estado
PRODUCTIVIDAD,63.62,56.41,Monclova
Crecimiento económico,55.73,58.93,Monclova
Producto urbano per cápita,60.91,58.93,Monclova
Relación de dependencia de la tercera edad,50.55,52.16,Monclova
Aglomeración económica,74.55,52.16,Monclova
Densidad económica,74.55,73.31,Monclova
Empleo,60.58,58.13,Monclova
Tasa de desempleo,79.56,76.57,Monclova
Relación empleo-población,41.6,39.7,Monclova
INFRAESTRUCTURA DE DESARROLLO,68.46,58.25,Monclova
Infraestructura de vivienda,80.22,79.45,Monclova
Vivienda durable,100.0,100.0,Monclova
Acceso a agua mejorada,97.32,96.71,Monclova
Espacio habitable suﬁciente,100.0,100.0,Monclova
Densidad poblacional,23.58,21.08,Monclova
Infraestructura social,49.72,43.33,Monclova
Densidad de médicos,49.72,43.33,Monclova
Infraestructura de comunicaciones,49.97,47.91,Monclova
Acceso a Internet,45.85,41.72,Monclova
Velocidad de banda ancha promedio,54.1,54.1,Monclova
Movilidad urbana,94.68,46.77,Monclova
Longitud de transporte masivo,,0.0,Monclova
Fatalidades de tránsito,94.68,93.53,Monclova
Forma urbana,67.69,73.79,Monclova
Densidad de la interconexión vial,93.3,87.4,Monclova
Densidad vial,44.0,69.92,Monclova
Superﬁcie destinada a vías,65.78,64.06,Monclova
CALIDAD DE VIDA,65.33,63.18,Monclova
Salud,58.84,62.47,Monclova
Esperanza de vida al nacer,75.31,75.31,Monclova
Tasa de mortalidad de menores de 5 años,42.37,49.63,Monclova
Educación,77.52,74.33,Monclova
Tasa de alfabetización,97.62,97.26,Monclova
Promedio de años de escolaridad,57.43,51.4,Monclova
Seguridad y protección,74.16,71.3,Monclova
Tasa de homicidios,74.16,71.3,Monclova
Espacio público,50.79,44.63,Monclova
Accesibilidad al espacio público abierto,67.89,61.74,Monclova
Áreas verdes per cápita,33.69,27.51,Monclova
EQUIDAD E INCLUSIÓN SOCIAL,75.07,78.15,Monclova
Equidad económica,54.42,57.38,Monclova
Coeﬁciente de Gini,56.55,62.61,Monclova
Tasa de pobreza,52.29,52.16,Monclova
Inclusión social,87.26,85.81,Monclova
Viviendas en barrios precarios,95.63,95.31,Monclova
Desempleo juvenil,78.88,76.31,Monclova
Inclusión de género,83.55,91.28,Monclova
Inscripción equitativa en educación a nivel secundario,83.55,91.28,Monclova
SOSTENIBILIDAD AMBIENTAL,80.42,73.21,Monclova
Calidad del aire,65.36,65.36,Monclova
Número de estaciones de monitoreo,50.0,50.0,Monclova
Concentraciones de material particulado,100.0,100.0,Monclova
Concentración de CO2,46.08,46.08,Monclova
Manejo de residuos,95.49,81.07,Monclova
Recolección de residuos sólidos,98.97,98.62,Monclova
Tratamiento de aguas residuales,92.0,63.51,Monclova
Energía,0.0,,Monclova
Proporción de generación de energía renovable,0.0,,Monclova
GOBERNANZA Y LEGISLACIÓN URBANA,32.46,32.89,Monclova
Participación y rendición de cuentas,61.46,61.58,Monclova
Participación electoral,61.46,61.58,Monclova
Capacidad institucional y ﬁnanzas municipales,35.92,37.09,Monclova
Recaudación de ingresos propios,26.72,20.85,Monclova
Deuda subnacional,7.56,7.78,Monclova
Eﬁciencia del gasto local,73.49,82.64,Monclova
Gobernanza de la urbanización,0.0,0.0,Monclova
Eﬁciencia en el uso de suelo,0.0,0.0,Monclova
PRODUCTIVIDAD,61.48,59.47,Aguascalientes
Crecimiento económico,51.88,52.82,Aguascalientes
Producto urbano per cápita,41.23,42.19,Aguascalientes
Relación de dependencia de la tercera edad,62.54,63.45,Aguascalientes
Aglomeración económica,68.1,67.79,Aguascalientes
Densidad económica,68.1,67.79,Aguascalientes
Empleo,64.44,64.46,Aguascalientes
Tasa de desempleo,70.12,70.53,Aguascalientes
Relación empleo-población,58.77,58.39,Aguascalientes
INFRAESTRUCTURA DE DESARROLLO,64.85,63.29,Aguascalientes
Infraestructura de vivienda,85.48,84.15,Aguascalientes
Vivienda durable,99.99,100.0,Aguascalientes
Acceso a agua mejorada,99.02,98.95,Aguascalientes
Espacio habitable suﬁciente,100.0,100.0,Aguascalientes
Densidad poblacional,42.9,37.66,Aguascalientes
Infraestructura social,71.24,67.05,Aguascalientes
Densidad de médicos,71.24,67.05,Aguascalientes
Infraestructura de comunicaciones,35.68,34.46,Aguascalientes
Acceso a Internet,27.92,25.47,Aguascalientes
Velocidad de banda ancha promedio,43.44,43.44,Aguascalientes
Movilidad urbana,42.36,41.65,Aguascalientes
Longitud de transporte masivo,0.0,0.0,Aguascalientes
Fatalidades de tránsito,84.71,83.3,Aguascalientes
Forma urbana,89.49,89.14,Aguascalientes
Densidad de la interconexión vial,100.0,100.0,Aguascalientes
Densidad vial,84.57,85.28,Aguascalientes
Superﬁcie destinada a vías,83.91,82.16,Aguascalientes
CALIDAD DE VIDA,69.72,67.81,Aguascalientes
Salud,67.44,66.91,Aguascalientes
Esperanza de vida al nacer,73.16,73.16,Aguascalientes
Tasa de mortalidad de menores de 5 años,61.71,60.65,Aguascalientes
Educación,85.15,81.94,Aguascalientes
Tasa de alfabetización,96.51,96.22,Aguascalientes
Promedio de años de escolaridad,73.79,67.66,Aguascalientes
Seguridad y protección,62.34,61.39,Aguascalientes
Tasa de homicidios,62.34,61.39,Aguascalientes
Espacio público,63.96,61.0,Aguascalientes
Accesibilidad al espacio público abierto,73.28,74.33,Aguascalientes
Áreas verdes per cápita,54.65,47.68,Aguascalientes
EQUIDAD E INCLUSIÓN SOCIAL,72.49,72.43,Aguascalientes
Equidad económica,47.8,48.56,Aguascalientes
Coeﬁciente de Gini,49.45,53.69,Aguascalientes
Tasa de pobreza,46.15,43.43,Aguascalientes
Inclusión social,79.34,79.52,Aguascalientes
Viviendas en barrios precarios,95.8,95.1,Aguascalientes
Desempleo juvenil,62.88,63.94,Aguascalientes
Inclusión de género,90.33,89.22,Aguascalientes
Inscripción equitativa en educación a nivel secundario,90.33,89.22,Aguascalientes
SOSTENIBILIDAD AMBIENTAL,34.77,33.27,Aguascalientes
Calidad del aire,62.83,57.83,Aguascalientes
Número de estaciones de monitoreo,75.0,60.0,Aguascalientes
Concentraciones de material particulado,67.43,67.43,Aguascalientes
Concentración de CO2,46.08,46.08,Aguascalientes
Manejo de residuos,41.47,41.97,Aguascalientes
Recolección de residuos sólidos,2.94,3.64,Aguascalientes
Tratamiento de aguas residuales,80.0,80.3,Aguascalientes
Energía,0.0,0.0,Aguascalientes
Proporción de generación de energía renovable,0.0,0.0,Aguascalientes
GOBERNANZA Y LEGISLACIÓN URBANA,29.1,29.4,Aguascalientes
Participación y rendición de cuentas,43.7,45.21,Aguascalientes
Participación electoral,43.7,45.21,Aguascalientes
Capacidad institucional y ﬁnanzas municipales,43.6,43.0,Aguascalientes
Recaudación de ingresos propios,24.8,24.46,Aguascalientes
Deuda subnacional,14.66,12.87,Aguascalientes
Eﬁciencia del gasto local,91.34,91.68,Aguascalientes
Gobernanza de la urbanización,0.0,0.0,Aguascalientes
Eﬁciencia en el uso de suelo,0.0,0.0,Aguascalientes
PRODUCTIVIDAD,63.78,59.47,San Francisco de los Romo
Crecimiento económico,60.89,52.82,San Francisco de los Romo
Producto urbano per cápita,51.47,42.19,San Francisco de los Romo
Relación de dependencia de la tercera edad,70.31,63.45,San Francisco de los Romo
Aglomeración económica,65.86,67.79,San Francisco de los Romo
Densidad económica,65.86,67.79,San Francisco de los Romo
Empleo,64.59,64.46,San Francisco de los Romo
