estado,clave,municipio,periodo
Aguascalientes,01001,Aguascalientes.,2015
Aguascalientes,01011,San Francisco de los Romo.,2015
Baja California,02002,Mexicali.,2015
Baja California,02004,Tijuana.,2015
Baja California Sur,03003,La Paz.,2015
Campeche,04002,Campeche.,2015
Coahuila de Zaragoza,05002,Acuña.,2015
Coahuila de Zaragoza,05025,Piedras Negras.,2015
Coahuila de Zaragoza,05027,Ramos Arizpe.,2015
Coahuila de Zaragoza,05030,Saltillo.,2015
Coahuila de Zaragoza,05035,Torreón.,2015
Colima,06002,Colima.,2015
Colima,06007,Manzanillo.,2015
Colima,06009,Tecomán.,2015
Colima,06010,Villa de Álvarez.,2015
Ciudad de México,09010,Álvaro Obregón.,2015
Ciudad de México,09011,Tláhuac.,2015
Ciudad de México,09012,Tlalpan.,2015
Ciudad de México,09013,Xochimilco.,2015
Ciudad de México,09014,Benito Juárez.,2015
Ciudad de México,09015,Cuauhtémoc.,2015
Ciudad de México,09016,Miguel Hidalgo.,2015
Ciudad de México,09017,Venustiano Carranza.,2015
Durango,10005,Durango.,2015
Durango,10007,Gómez Palacio.,2015
Guanajuato,11005,Apaseo el Grande.,2015
Guanajuato,11007,Celaya.,2015
Guanajuato,11015,Guanajuato.,2015
Guanajuato,11017,Irapuato.,2015
Coahuila de Zaragoza,05018,Monclova.,2018
Coahuila de Zaragoza,05033,San Pedro.,2018
Chiapas,07017,Cintalapa.,2018
Chiapas,07019,Comitán de Domínguez.,2018
Chiapas,07023,Chamula.,2018
Chiapas,07027,Chiapa de Corzo.,2018
Chiapas,07031,Chilón.,2018
Chiapas,07034,Frontera Comalapa.,2018
Chiapas,07040,Huixtla.,2018
Chiapas,07052,Las Margaritas.,2018
Chiapas,07057,Motozintla.,2018
Chiapas,07059,Ocosingo.,2018
Chiapas,07061,Ocozocoautla de Espinosa.,2018
Chiapas,07065,Palenque.,2018
Chiapas,07089,Tapachula.,2015
Chiapas,07101,Tuxtla Gutiérrez.,2015
Chihuahua,08004,Aquiles Serdán.,2015
Chihuahua,08017,Cuauhtémoc.,2015
Chihuahua,08019,Chihuahua.,2015
Chihuahua,08021,Delicias.,2015
Chihuahua,08037,Juárez.,2015
Ciudad de México,09002,Azcapotzalco.,2015
Ciudad de México,09003,Coyoacán.,2015
Ciudad de México,09004,Cuajimalpa de Morelos.,2015
